Country,Score,Year
Finland,7.808700085,2020
Denmark,7.645599842,2020
Switzerland,7.559899807,2020
Iceland,7.504499912,2020
Norway,7.487999916,2020
Netherlands,7.448900223,2020
Sweden,7.353499889,2020
New Zealand,7.299600124,2020
Austria,7.294199944,2020
Luxembourg,7.237500191,2020
Canada,7.23210001,2020
Australia,7.222799778,2020
United Kingdom,7.164500237,2020
Israel,7.128600121,2020
Costa Rica,7.121399879,2020
Ireland,7.093699932,2020
Germany,7.075799942,2020
United States,6.939599991,2020
Czech Republic,6.910900116,2020
Belgium,6.863500118,2020
United Arab Emirates,6.790800095,2020
Malta,6.772799969,2020
France,6.663799763,2020
Mexico,6.465000153,2020
Taiwan Province of China,6.45539999,2020
Uruguay,6.440100193,2020
Saudi Arabia,6.406499863,2020
Spain,6.400899887,2020
Guatemala,6.398900032,2020
Italy,6.38740015,2020
Singapore,6.377099991,2020
Brazil,6.375599861,2020
Slovenia,6.363399982,2020
El Salvador,6.34829998,2020
Kosovo,6.325200081,2020
Panama,6.304800034,2020
Slovakia,6.280600071,2020
Uzbekistan,6.257599831,2020
Chile,6.228499889,2020
Bahrain,6.227300167,2020
Lithuania,6.215499878,2020
Trinidad and Tobago,6.191899776,2020
Poland,6.186299801,2020
Colombia,6.163400173,2020
Cyprus,6.15899992,2020
Nicaragua,6.13710022,2020
Romania,6.123700142,2020
Kuwait,6.102099895,2020
Mauritius,6.101299763,2020
Kazakhstan,6.057899952,2020
Estonia,6.021800041,2020
Philippines,6.006000042,2020
Hungary,6.000400066,2020
Thailand,5.998799801,2020
Argentina,5.974699974,2020
Honduras,5.953199863,2020
Latvia,5.949999809,2020
Ecuador,5.925199986,2020
Portugal,5.910900116,2020
Jamaica,5.889800072,2020
South Korea,5.872399807,2020
Japan,5.870800018,2020
Peru,5.796800137,2020
Serbia,5.77820015,2020
Bolivia,5.747499943,2020
Pakistan,5.69329977,2020
Paraguay,5.692100048,2020
Dominican Republic,5.689199924,2020
Bosnia and Herzegovina,5.674099922,2020
Moldova,5.607500076,2020
Tajikistan,5.555699825,2020
Montenegro,5.54610014,2020
Russia,5.546000004,2020
Kyrgyzstan,5.541500092,2020
Belarus,5.539899826,2020
North Cyprus,5.53550005,2020
Greece,5.514999866,2020
Hong Kong S.A.R. of China,5.510399818,2020
Croatia,5.504700184,2020
Libya,5.488800049,2020
Mongolia,5.456200123,2020
Malaysia,5.384300232,2020
Vietnam,5.353499889,2020
Indonesia,5.285600185,2020
Ivory Coast,5.233300209,2020
Benin,5.21600008,2020
Maldives,5.197599888,2020
Congo (Brazzaville),5.194399834,2020
Azerbaijan,5.164800167,2020
Macedonia,5.159800053,2020
Ghana,5.147999763,2020
Nepal,5.137199879,2020
Turkey,5.131800175,2020
China,5.123899937,2020
Turkmenistan,5.119100094,2020
Bulgaria,5.101500034,2020
Morocco,5.094799995,2020
Cameroon,5.084899902,2020
Venezuela,5.053199768,2020
Algeria,5.005099773,2020
Senegal,4.980800152,2020
Guinea,4.949299812,2020
Niger,4.909599781,2020
Laos,4.888599873,2020
Albania,4.882699966,2020
Cambodia,4.848400116,2020
Bangladesh,4.832799911,2020
Gabon,4.829299927,2020
South Africa,4.814099789,2020
Iraq,4.784800053,2020
Lebanon,4.771500111,2020
Burkina Faso,4.768700123,2020
Gambia,4.750599861,2020
Mali,4.729300022,2020
Nigeria,4.724100113,2020
Armenia,4.676799774,2020
Georgia,4.672599792,2020
Iran,4.672399998,2020
Jordan,4.633399963,2020
Mozambique,4.623600006,2020
Kenya,4.583000183,2020
Namibia,4.571100235,2020
Ukraine,4.56069994,2020
Liberia,4.557899952,2020
Palestinian Territories,4.552800179,2020
Uganda,4.43200016,2020
Chad,4.422699928,2020
Tunisia,4.392199993,2020
Mauritania,4.374599934,2020
Sri Lanka,4.327000141,2020
Congo (Kinshasa),4.31099987,2020
Swaziland,4.308100224,2020
Myanmar,4.308000088,2020
Comoros,4.288599968,2020
Togo,4.187200069,2020
Ethiopia,4.186200142,2020
Madagascar,4.165599823,2020
Egypt,4.151400089,2020
Sierra Leone,3.926399946,2020
Burundi,3.775300026,2020
Zambia,3.759399891,2020
Haiti,3.720799923,2020
Lesotho,3.652800083,2020
India,3.573299885,2020
Malawi,3.538000107,2020
Yemen,3.527400017,2020
Botswana,3.478899956,2020
Tanzania,3.476200104,2020
Central African Republic,3.475899935,2020
Rwanda,3.312299967,2020
Zimbabwe,3.299200058,2020
South Sudan,2.816600084,2020
Afghanistan,2.566900015,2020
Finland,7.769,2019
Denmark,7.6,2019
Norway,7.554,2019
Iceland,7.494,2019
Netherlands,7.488,2019
Switzerland,7.48,2019
Sweden,7.343,2019
New Zealand,7.307,2019
Canada,7.278,2019
Austria,7.246,2019
Australia,7.228,2019
Costa Rica,7.167,2019
Israel,7.139,2019
Luxembourg,7.09,2019
United Kingdom,7.054,2019
Ireland,7.021,2019
Germany,6.985,2019
Belgium,6.923,2019
United States,6.892,2019
Czech Republic,6.852,2019
United Arab Emirates,6.825,2019
Malta,6.726,2019
Mexico,6.595,2019
France,6.592,2019
Taiwan,6.446,2019
Chile,6.444,2019
Guatemala,6.436,2019
Saudi Arabia,6.375,2019
Qatar,6.374,2019
Spain,6.354,2019
Panama,6.321,2019
Brazil,6.3,2019
Uruguay,6.293,2019
Singapore,6.262,2019
El Salvador,6.253,2019
Italy,6.223,2019
Bahrain,6.199,2019
Slovakia,6.198,2019
Trinidad & Tobago,6.192,2019
Poland,6.182,2019
Uzbekistan,6.174,2019
Lithuania,6.149,2019
Colombia,6.125,2019
Slovenia,6.118,2019
Nicaragua,6.105,2019
Kosovo,6.1,2019
Argentina,6.086,2019
Romania,6.07,2019
Cyprus,6.046,2019
Ecuador,6.028,2019
Kuwait,6.021,2019
Thailand,6.008,2019
Latvia,5.94,2019
South Korea,5.895,2019
Estonia,5.893,2019
Jamaica,5.89,2019
Mauritius,5.888,2019
Japan,5.886,2019
Honduras,5.86,2019
Kazakhstan,5.809,2019
Bolivia,5.779,2019
Hungary,5.758,2019
